Displacement/μm - ,Load/N - 
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.18,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.228
166.2,124.193
166.2,124.228
166.2,124.228
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.228
166.2,124.193
166.2,124.193
166.22,124.193
166.2,124.193
166.22,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.22,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.22,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.22,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.18,124.193
166.2,124.193
166.18,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.22,124.193
166.22,124.193
166.2,124.193
166.22,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.2,124.193
166.24,124.193
166.2,124.193
166.2,124.193
166.22,124.193
166.2,124.158
166.2,124.193
166.2,124.158
166.2,124.193
166.22,124.193
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.193
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.18,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.22,124.158
166.22,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.22,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.158
166.2,124.123
166.2,124.158
166.2,124.158
166.22,124.123
166.2,124.158
